Cidade,Frase Descritiva,Qualidade de Vida,Custo de Vida (10=Barato),Segurança,Lazer,Natureza
Aracaju,Capital com jeito de interior e orla muito organizada.,8.0,8.0,6.2,7.2,8.0
Belém,Rica cultura gastronômica e portão de entrada da Amazônia.,5.9,6.5,3.5,8.0,8.5
Belo Horizonte,"A capital dos botecos, cercada por montanhas e boa cultura.",8.1,5.0,5.5,9.2,5.2
Boa Vista,"Cidade planejada em leque, com clima pacato no extremo norte.",6.8,7.0,5.2,5.2,6.5
Brasília,Modernismo arquitetônico e planejamento no Planalto Central.,8.1,3.0,6.0,8.2,6.0
Campo Grande,Cidade arborizada com forte presença da fauna pantaneira.,8.1,6.5,6.8,7.2,8.2
Cuiabá,Calor intenso e proximidade com a exuberante Chapada dos Guimarães.,6.0,6.2,4.8,6.0,8.2
Curitiba,"Referência nacional em urbanismo, parques e transporte público.",9.1,4.5,7.0,9.2,7.2
Florianópolis,"A Ilha da Magia une modernidade, praias e alta qualidade de vida.",9.0,3.0,8.0,8.5,10.0
Fortaleza,Metrópole vibrante com praias famosas e ventos constantes.,6.8,6.0,3.5,9.2,9.0
Foz do Iguaçu,"Lar das Cataratas, com atmosfera cosmopolita e de fronteira.",7.8,7.0,5.8,7.5,10.0
Goiânia,Capital do agronegócio com muitos parques e vida sertaneja.,8.1,7.0,5.8,8.2,6.0
João Pessoa,"Onde o sol nasce primeiro, com orla preservada e bom custo-benefício.",8.9,8.2,6.8,7.8,10.0
Macapá,Única capital cortada pela Linha do Equador e banhada pelo Amazonas.,4.9,7.2,3.8,4.0,7.5
Maceió,"Possui um dos mares mais bonitos do Brasil, com águas caribenhas.",6.6,7.2,3.5,7.2,10.0
Manaus,"O coração da floresta, entre modernidade e a imensidão da selva.",5.9,5.8,3.5,8.0,9.5
Montes Claros,Importante polo regional no norte de Minas com clima quente.,6.1,8.0,5.8,5.2,4.2
Natal,"A cidade do sol, famosa pelas dunas de Genipabu e Ponta Negra.",7.6,7.0,4.8,7.5,10.0
Palmas,"A mais jovem capital do país, planejada e com praias de rio.",7.2,7.2,6.0,6.5,8.5
Palmeira dos Índios,"Cidade histórica do agreste alagoano, terra de Graciliano Ramos.",5.1,9.0,5.8,4.2,4.0
Porto Alegre,Polo cultural do sul com o tradicional pôr do sol no Guaíba.,7.1,4.2,4.0,8.2,6.0
Porto Velho,Cidade marcada pelo ciclo da borracha às margens do Rio Madeira.,4.9,6.2,3.5,5.0,6.5
Recife,"Veneza brasileira, rica em história, frevo e belas pontes.",6.8,6.0,2.5,9.2,7.8
Rio Branco,Tranquilidade amazônica na fronteira com Peru e Bolívia.,5.8,7.2,3.8,5.0,6.8
Rio de Janeiro,"A Cidade Maravilhosa, com beleza geográfica inigualável.",6.9,2.0,2.5,10.0,10.0
Salvador,"Berço da cultura brasileira, com energia única e axé.",6.8,6.0,2.8,9.2,8.8
S. J. dos Campos,Polo tecnológico e aeronáutico com alto padrão de vida.,9.0,4.2,7.8,8.0,6.0
São Luís,Ilha do reggae com arquitetura colonial e azulejos históricos.,5.9,7.0,3.5,7.2,8.0
São Paulo,"O motor econômico do país, onde tudo acontece 24 horas por dia.",7.9,1.2,4.5,10.0,3.0
Teresina,"Única capital nordestina fora do litoral, conhecida como Cidade Verde.",5.9,8.2,4.8,6.0,5.0
Vitória,"Capital insular organizada, com belas paisagens e boa infraestrutura.",9.0,5.0,7.0,8.2,8.2
