Cidade,Frase Descritiva,Qualidade de Vida,Custo de Vida (10=Barato),Segurança,Lazer,Natureza
Aracaju,"Capital com ""jeito de interior"" e orla muito organizada.",8,8,6,7,8
Belém,Rica cultura gastronômica e portão de entrada da Amazônia.,6,7,4,8,8
Belo Horizonte,"A capital dos botecos, cercada por montanhas e cultura.",8,5,6,9,5
Boa Vista,"Cidade planejada em leque, com clima pacato no extremo norte.",7,7,5,5,6
Brasília,Modernismo arquitetônico e qualidade de vida no Planalto Central.,8,3,6,8,6
Campo Grande,Cidade arborizada com forte presença da fauna pantaneira.,8,6,7,7,8
Cuiabá,Calor intenso e proximidade com a exuberante Chapada dos Guimarães.,6,6,5,6,8
Curitiba,"Referência em urbanismo, parques e transporte público.",9,4,7,9,7
Florianópolis,"A ""Ilha da Magia"" une modernidade a praias paradisíacas.",9,3,8,8,10
Fortaleza,Metrópole vibrante com praias famosas e ventos constantes.,7,6,4,9,9
Foz do Iguaçu,"Lar das Cataratas, com atmosfera cosmopolita e de fronteira.",8,7,6,7,10
Goiânia,Capital do agronegócio com muitos parques e vida sertaneja.,8,7,6,8,6
João Pessoa,"Onde o sol nasce primeiro, com orla preservada e custo justo.",9,8,7,7,10
Macapá,Única capital cortada pela Linha do Equador e banhada pelo Amazonas.,5,7,4,4,7
Maceió,"Possui o mar mais bonito do Brasil, assemelhando-se ao Caribe.",7,7,4,7,10
Manaus,"O coração da floresta, entre a modernidade industrial e a selva.",6,6,4,8,9
Montes Claros,Importante polo regional no norte de Minas com clima quente.,6,8,6,5,4
Natal,"A cidade do sol, famosa pelas dunas de Genipabu e Ponta Negra.",8,7,5,7,10
Palmas,"A mais jovem capital do país, planejada e com praias de rio.",7,7,6,6,8
Palmeira dos Índios,"Cidade histórica do agreste alagoano, terra de Graciliano Ramos.",5,9,6,4,4
Porto Alegre,Polo cultural do sul com o tradicional pôr do sol no Guaíba.,7,4,4,8,6
Porto Velho,Cidade marcada pelo ciclo da borracha às margens do Rio Madeira.,5,6,4,5,6
Recife,"Veneza brasileira, rica em história, frevo e belas pontes.",7,6,3,9,8
Rio Branco,Tranquilidade amazônica na fronteira com Peru e Bolívia.,6,7,4,5,6
Rio de Janeiro,"A Cidade Maravilhosa, com beleza geográfica inigualável no mundo.",7,2,3,10,10
Salvador,"Berço da cultura brasileira, com energia única e axé.",7,6,3,9,9
S. J. dos Campos,Polo tecnológico e aeronáutico com alto padrão de vida.,9,4,8,8,6
São Luís,Ilha do reggae com arquitetura colonial e azulejos históricos.,6,7,4,7,8
São Paulo,"O motor econômico do país, onde tudo acontece 24 horas por dia.",8,1,5,10,3
Teresina,"Única capital nordestina fora do litoral, conhecida como Cidade Verde.",6,8,5,6,5
Vitória,"Capital insular organizada, com belas paisagens e boa infraestrutura.",9,5,7,8,8
